L1,L2
"Chief Minister of Himachal Pradesh, Jai Ram Thakur has said that the Citizenship (Amendment) Act, CAA only intends to help minority communities facing religious persecution in three neighbouring countries.",हिमाचल प्रदेश के मुख्यमंत्री जयराम ठाकुर ने कहा है कि नागरिकता संशोधन कानून का उद्देश्य भारत के तीन पड़ोसी देशों में धार्मिक उत्पीड़न झेल रहे अल्पसंख्यक समुदायों की सहायता करना मात्र है।
"Addressing a Press Conference Uttarakhand capital Dehradun today, he said that an agreement was signed between Jawaharlal Nehru and Liaquat Ali to protect the minority communities of their respective countries.",आज उत्तराखंड की राजधानी देहरादून में संवाददाताओं से उन्होंने कहा कि अल्पसंख्यक समुदायों की रक्षा के लिए जवाहरलाल नेहरू और पाकिस्तान के प्रथम प्रधानमंत्री लियाकत अली के बीच समझौता हुआ था।
"He said that India abides by this Pact but in Pakistan, the condition of minority was pathetic.",श्री ठाकुर ने कहा कि भारत ने इस समझौते का पालन किया है लेकिन पाकिस्तान में अल्पसंख्यकों की हालत दयनीय है।
"He said that since, the Constitutions of Pakistan, Afghanistan and Bangladesh provided for a specific state religion, many persons belonging to Hindu, Sikh, Buddhist, Jain, Parsi and Christian communities have faced persecution on grounds of religion in those countries.","उन्होंने कहा कि पाकिस्तान, अफगानिस्तान और बांग्लादेश का संविधान धर्म विशेष को प्रश्रय देता है, इसलिए इन देशों में हिन्दू, सिख, बौद्ध, जैन, पारसी और ईसाई समुदायों का धार्मिक उत्पीड़न होता है और बहुत अधिक संख्या में अल्पसंख्यकों का पलायन होता रहा है।"
Mr Thakur said that the incident of Sri Nankana Sahib was a glaring example of atrocities against the minority communities in Pakistan.,उन्होंने कहा कि श्री ननकाना साहिब की घटना पाकिस्तान में अल्पसंख्यक समुदायों पर हो रहे अत्याचार का ताज़ा उदाहरण है।
Jai Ram Thakur said that the Congress and other opposition leaders were trying to politicise the whole issue to mislead people.,जयराम ठाकुर ने कहा कि कांग्रेस और अन्य विपक्षी दल लोगों को गुमराह करने के लिए इस मुद्दे का राजनीतिकरण करने की कोशिश कर रहे हैं।
"Chief Minister of Uttarakhand T.S. Rawat, BJP President Uttarakhand and Member of Parliament Ajay Bhatt, Vice Chairman State Civil Supplies Corporation Baldev Tomar, Political Advisor to Chief Minister Trilok Jamwal, OSD Shishu Dharma, were also present on the occasion.","इस मौके पर उत्तराखंड के मुख्यमंत्री त्रिवेन्द्र सिंह रावत, भारतीय जनता पार्टी के प्रदेश अध्यक्ष और संसद सदस्य अजय भट्ट और राज्य के नागरिक आपूर्ति निगम के उपाध्यक्ष उपस्थित थे।"
"In United Kingdom, fugitive diamond merchant Nirav Modi was further remanded in custody at a hearing today and asked to appear on 30th of January in nearly two billion US Dollars Punjab National Bank fraud and money laundering case.","लगभग दो अरब अमरीकी डॉलर मूल्य के पंजाब नेशनल बैंक धोखाधड़ी और मनी लॉन्ड्रिंग मामले में, भगोड़े हीरा व्यापारी नीरव मोदी को आज ब्रिटेन में एक सुनवाई के दौरान आगे की रिमांड पर हिरासत में भेज दिया गया।"
Modi appeared for his regular 28-day call-over appearance from London's Wandsworth prison at Westminster Magistrates' Court.,नीरव मोदी वेस्टमिंस्टर मजिस्ट्रेट कोर्ट में लंदन की वैंड्सवर्थ जेल से अपनी नियमित 28-दिन की हाजिरी के लिए उपस्थित हुआ।
His extradition trial is scheduled for 11th of May and is expected to last over five days.,नीरव की प्रत्यर्पण सुनवाई 11 मई को निर्धारित है और इसकी पांच दिन तक चलने की उम्मीद है।
Modi had moved yet another bail application last November but the bail plea was turned down by Chief Magistrate Emma Arbuthnot.,"नीरव मोदी ने पिछले नवंबर में जमानत की एक और अर्जी दी थी, लेकिन जमानत याचिका को मुख्य मजिस्ट्रेट एम्मा आर्बुथनॉट ने खारिज़ कर दिया था।"
"Defence Minister Rajnath Singh has said that the Defence Expo 2020 will be held for the first time in Lucknow from February 5 to  9. He said it will be the biggest ever defence exhibition in the country in terms of participation of exhibitors, the area of the exhibition and the revenue to be earned.",रक्षामंत्री राजनाथ सिंह ने कहा है कि रक्षा प्रदर्शनी-2020 पांच से नौ फरवरी के बीच पहली बार लखनऊ में आयोजित की जाएगी।
Prime Minister Narendra Modi will inaugurate the exhibition.,इसका उद्घाटन प्रधानमंत्री नरेन्द्र मोदी करेंगे।
"Addressing a media gathering after reviewing the preparations for the Expo along with Chief Minister Yogi Adityanath in Lucknow, Mr Singh said that the event will be a historic one for Uttar Pradesh.",लखनऊ में मुख्यमंत्री योगी आदित्य नाथ के साथ प्रदर्शनी की तैयारियों की समीक्षा के बाद श्री राजनाथ सिंह ने कहा कि यह उत्तर प्रदेश के लिए ऐतिहासिक अवसर होगा।
He said the state will become a destination for defence manufacturing and aerospace manufacturing.,"उन्होंने कहा कि इससे राज्य, रक्षा और ऐरोस्पेस विनिर्माण का आकर्षक केन्द्र बनेगा।"
AIR correspondent reports that the previous Defence Expo in Chennai in 2018 was held over a 80-acre area whereas the Defence Expo in Lucknow will be organised over a 200-acre area.,"पिछली रक्षा प्रदर्शनी 2018 में चेन्नई में अस्सी एकड़ क्षेत्र में आयोजित की गई थी, जबकि लखनऊ में इसका आयोजन दो सौ एकड़ क्षेत्र में होगा।"
"Nearly 925 exhibitors, including 150 foreign companies have already registered for participation.",डेढ़ सौ विदेशी कंपनियों सहित करीब नौ सौ पच्चीस प्रदर्शक इसमें हिस्सा लेने के लिए पहले ही पंजीकरण करा चुके हैं।
Chief Minister Yogi Adityanath expressed hope that the Defence Expo will pave the way for investment worth 25 thousand crore rupees in defence corridor.,मुख्यमंत्री योगी आदित्य नाथ ने आशा व्यक्त की कि रक्षा प्रदर्शनी से इस क्षेत्र में पच्चीस हजार करोड़ रूपये के निवेश का मार्ग प्रशस्त होगा।
"In a tweet today, Mr. Modi said, Union Budget represents the aspirations of 130 crore Indians and lays out the path towards India’s development.",एक ट्वीट में श्री मोदी ने कहा कि केन्द्रीय बजट 130 करोड़ भारतवासियों की आकांक्षाओं को व्यक्त करेगा और देश के विकास की दिशा तय करेगा।
"Earlier, the Finance Ministry had also urged people to share their valuable ideas in the field of agriculture, education and other sectors for the general budget 2020-21.","इससे पहले, वित्त मंत्रालय ने भी 2020-21 के आम बजट के लिए कृषि, शिक्षा और अन्य क्षेत्रों में लोगों से बहुमूल्य सुझाव देने का आग्रह किया था।"
"Finance Minister, Nirmala Sitharaman already had pre-budget consultations with representatives of different sectors including health, education, banking, infrastructure, energy, rural development, agriculture as well as the leading economist and industry bodies.","वित्त मंत्री निर्मला सीतारमण स्वास्थ्य, शिक्षा, बैंकिंग, बुनियादी ढांचा, ऊर्जा, ग्रामीण विकास, कृषि सहित विभिन्न क्षेत्रों के प्रतिनिधियों के साथ-साथ अग्रणी अर्थशास्त्रियों और उद्योग निकायों से भी बजट पूर्व चर्चा कर चुकी हैं।"
The first budget in the second term of the Narendra Modi government will be presented on 1st February.,केंद्रीय बजट पहली फरवरी को प्रस्तुत किए जाने की संभावना है।
US President Donald Trump says he will sign the first phase of a trade deal with China at the White House on 15th of this month.,अमरीका के राष्ट्रपति डॉनल्ड ट्रंप ने कहा है कि चीन के साथ व्यापार के पहले चरण के समझौते पर इस महीने की 15 तारीख को व्हाइट हाउस में हस्ताक्षर किए जाएंगे।
"In a tweet, Mr Trump said that he will travel to Beijing at a later date to open talks on other sticking points in the US-China trade relationship that remain to be worked out.",कल एक ट्वीट में ट्रम्प ने कहा कि हस्ताक्षर होने के बाद वे चीन का दौरा करेंगे और अमरीका तथा चीन के बीच व्यापारिक संबंधों के अन्य पहलुओं पर चर्चा करेंगे।
Uttar Pradesh government has sent a report to the Centre seeking a ban on Popular Front of India (PFI) for indulging in violence during last month's anti-CAA protests.,उत्तर प्रदेश सरकार ने पिछले महीने के दौरान नागरिकता संशोधन अधिनियम के विरोध प्रदर्शनों के दौरान हिंसा में शामिल लोगों के लिए पापुलर फ्रंट ऑफ इंडिया-पीएफआई पर प्रतिबंध लगाने की मांग के बारे में रिपोर्ट केन्द्र सरकार को भेज दी है।
"State DGP OP Singh said told a press conference in Lucknow that the state home department sent its report after PFI's Uttar Pradesh head, Wasim, and 16 other activists were arrested for allegedly masterminding the violence in the state capital during protests.",राज्य के पुलिस महानिदेशक ओ. पी. सिंह ने आज लखनऊ में संवाददाताओं को बताया कि राज्य के गृह विभाग ने पीएफआई के उत्तर प्रदेश प्रमुख वसीम और अन्य 16 कार्यकर्ताओं को विरोध प्रदर्शन के दौरान राजधानी लखनऊ में हिंसा को अंजाम देने के लिए गिरफ्तार किया गया।
"He said, police have enough evidence of the involvement of the PFI in the recent violence during protests in Lucknow and other districts.",उन्होंने कहा कि पुलिस के पास लखनऊ और अन्य जिलों में विरोध प्रदर्शनों के दौरान हाल ही में हुई हिंसा में पीएफआई के शामिल होने के पर्याप्त सबूत हैं।
"DGP said, police are investigating the role of other groups including Rihai Manch who were also involved in the violence.","पुलिस महानिदेशक ने कहा, कि पुलिस रिहाई मंच सहित अन्य गुटों की भी भूमिका की जांच कर रही है जो हिंसा में शामिल थे।"
"Lucknow police has arrested of mastermind of the Lucknow violence Wasim and his two associates Nadeem, and Ashfaq.",पुलिस ने लखनऊ में हिंसा के मास्टरमाइंड वसीम और उसके दो साथियों नदीम तथा अशफाक को गिरफ्तार किया है।
"While Wasim is the state head of PFI, Ashfaq is the treasurer and Nadeem is a member.","वसीम पीएफआई का राज्य प्रमुख है, वहीं अशफाक कोषाध्यक्ष और नदीम सदस्य है।"
"Police have also seized placards, flags, pamphlets, literature, newspaper cuttings, banners and posters for the anti-NRC or CAA protest from them.","पुलिस ने उनके कब्ज़े से राष्ट्रीय नागरिक रजिस्टर और नागरिकता संशोधन अधिनियम का विरोध जताने संबंधित तख्तियां, झंडे, पर्चे, साहित्य, अखबार की कटिंग, बैनर और पोस्टर जब्त किए हैं।"
The women's doubles pair of Pooja Dandu and Sanjana Santosh also failed to make the main draw.,शुभांकर डे और पूजा डांडू तथा संजना संतोष की जोड़ी भी मुख्य ड्रा में पहुंचने में नाकाम रही।
North Korean leader Kim Jong Un has declared an end to moratoriums on nuclear and intercontinental ballistic missile tests with a threat to demonstrate a new strategic weapon soon.,उत्तर कोरिया के नेता किम जोंग उन ने घोषणा की है कि उनका देश परमाणु और अंतर-महाद्वीपीय बैलेस्टिक मिसाइलों के परीक्षण पर लगाई गई रोक खत्म कर रहा है।
Indian Space Research Organisation will establish a second launch port in Thoothukodi district in Tamilnadu exclusively to launch small satellite launch vehicles.,"भारतीय अंतरिक्ष अनुसंधान संगठन-इसरो तमिलनाडु के तुतुकुडी जिले में एक नया उपग्रह प्रक्षेपण केन्द्र स्थापित करेगा, जिसका इस्तेमाल छोटे उपग्रहों के प्रक्षेपण के लिए किया जायेगा।"
"Speaking to media persons in Bengaluru today, ISRO Chairman K Sivan informed that this will come up in 2300 acres.",बेंगलुरू में आज संवाददाताओं से बातचीत में इसरो के अध्यक्ष के सिवन ने बताया कि इसका निर्माण दो हजार तीन सौ एकड़ क्षेत्र में किया जायेगा।
"On the lines of GPS navigation system developed by America, the Indian navigation system called Navic with the indigenous atomic clock will be operational with mobile phone manufacturers coming forward to install the regional navigation device.","अमरीका द्वारा विकसित जीपीएस नेवीगेशन प्रणाली की तर्ज पर भारतीय नेवीगेशन प्रणाली--नेविक भी चालू की जायेगी, जिसमें स्वदेशी परमाणु घड़ी लगी रहेगी।"
"On future programmes, the ISRO Chairman said that Chandrayaan 3 mission to the moon, comprising of a lander and a rover is approved by the Government.",भारतीय अंतरक्षि अनुसंधान संगठन के भावी कार्यक्रमों का जिक्र करते हुए इसरो अध्यक्ष ने कहा कि सरकार ने चन्द्रमा पर भेजे जाने वाले चंद्रयान-3 अभियान को भी मंजूरी दे दी है।
"On the progress made in India’s first manned mission to outer space Gaganyaan, he said, the process of Astronaut selection is over and four men selected from Indian Air Force will leave for Russia in the third week of January to get training.",अंतरिक्ष में भारत के पहले मानवयुक्त अभियान--गगनयान के प्रक्षेपण की दिशा में प्रगति के बारे में श्री सिवन ने बताया कि अंतरिक्ष यात्रियों के चयन की प्रक्रिया पूरी हो चुकी है और इसके लिए चुने गये भारतीय वायुसेना के चार अधिकारी प्रशिक्षण के लिए जनवरी के तीसरे सप्ताह में रूस को रवाना होंगे।
The Gaganyaan mission is targeted to be launched by 2022.,गगनयान को 2022 में प्रक्षेपित करने का कार्यक्रम है।
Before that unmanned missions will be launched to test the crew module with robots resembling humans.,उससे पहले चालक दल वाले मॉड्यूल के परीक्षण के लिए एक मानवरहित अभियान अंतरिक्ष में भेजा जायेगा जिसमें मनुष्यों की जगह उन्ही की तरह के रोबोट मौजूद रहेंगे।
"This unmanned space mission will test spacecraft re-entry technology, space capsule recovery experiment and effect of microgravity on the crew module necessary for the human space travel.",इस मानवरहित अंतरिक्ष अभियान में उपग्रह को वापस लाने की टेक्नोलॉजी और अंतरिक्ष में भेजे जाने वाले मॉड्यूल पर माइक्रो ग्रेविटी यानी सूक्ष्म-गुरुत्वाकर्षण के प्रभाव का परीक्षण भी किया जायेगा।
"In Uttarakhand, continuous snowfall in hills and rain in some other parts have thrown life out of gear.",उत्तराखंड के पर्वतीय इलाकों में बर्फबारी और कुछ अन्य इलाकों में बारिश के कारण जनजीवन अस्त-व्यस्त है।
Power and water supply have been disrupted in many areas due to heavy snow.,भारी बर्फबारी के कारण बिजली और जल आपूर्ति बाधित हुई है।
Road connectivity has also been affected in hilly areas of the state.,पर्वतीय इलाकों में सड़क सम्पर्क प्रभावित हुआ है।
Met department has predicted more rain and snowfall in Kumaun region of the state.,मौसम विभाग के अनुसार कुमायुं क्षेत्र में तेज वर्षा और बर्फबारी हो सकती है।
"Meanwhile, several parts of the national capital witnessed light rain last night leading to fall in temperature.",राष्ट्रीय राजधानी क्षेत्र में आज सवेरे ठंडी हवायें चलने से तापमान में गिरावट दर्ज की गई।
Met Department has forecast further dip in temperature over the weekend due to icy winds coming from the hills.,मौसम विभाग ने पहाड़ी इलाकों से आ रही बर्फीली हवाओं के कारण तापमान में और गिरावट आने की संभावना व्यक्त की है।
"Cold wave conditions further intensified in most parts of Punjab and Haryana, with the minimum temperature dropping a few degrees below normal.",पंजाब और हरियाणा के अधिकांश हिस्सों में न्यूनतम तापमान सामान्य से कुछ डिग्री कम होने के साथ ही शीतलहर तेज हो गई है।
Several parts of Punjab and Haryana have been lashed by rains in the past three days.,पिछले तीन दिनों के दौरान इन राज्यों के कई हिस्सों में बारिश हुई।
"Amritsar was the coldest place in Punjab with a low of  2.2 degrees Celsius, one notch below normal.",पंजाब में अमृतसर 2 दशमलव 2 डिग्री सेल्सियस तापमान के साथ सबसे ठंडा स्थान रहा।
"In Haryana, Hisar was the coldest place with a minimum of  3.2 degrees Celsius, four degrees below normal.",हरियाणा के हिसार में न्यूनतम तापमान सामान्य से चार डिग्री कम होकर 3.2 डिग्री सेल्सियस के साथ सबसे ठंडा स्थान रहा।
Chandigarh recorded a minimum of  6.7 degrees Celsius.,चंडीगढ़ में न्यूनतम तापमान 6.7 डिग्री सेल्सियस दर्ज किया गया।
"A thick blanket of fog also enveloped Chandigarh, Amritsar, Ludhiana, Patiala, Adampur, Halwara, Bathinda, Hisar, Karnal, Rohtak and Sirsa.","चंडीगढ़, अमृतसर, लुधियाना, पटियाला, आदमपुर, हलवारा, बठिंडा, हिसार, करनाल, रोहतक और सिरसा घने कोहरे की चपेट में है।"
"A day after snowfall, several parts of Himachal Pradesh including its capital Shimla woke up to a sunny morning today.",एक दिन की बर्फबारी के बाद हिमाचल प्रदेश की राजधानी शिमला सहित राज्य के कई इलाकों में आज धूप खिली है।
"However, most of the middle and high hills of the state including Shimla, Kufri, Manali, Dalhousie and Kalpa shivered at below freezing point.","शिमला, कुफरी, मनाली, डलहौजी और कल्पा सहित राज्य के पहाड़ी इलाकों में तापमान शून्य से नीचे चला है।"
The state will experience mostly dry weather during the next two days.,राज्य में अगले दो दिन के दौरान मौसम शुष्क रहने की संभावना है।
"Meanwhile, the work to clear snow from roads is on.",इस बीच सड़कों से बर्फ हटाने का काम जारी है।
879 roads in the state are blocked after widespread snowfall yesterday.,कल भारी बर्फबारी के कारण 879 सड़कें बंद हो गई थी।
Power and water supply has been adversely affected in parts of the state due to heavy snowfall.,राज्य में बर्फबारी से बिजली और पानी की आपूर्ति प्रभावित हुई है।
Chief Minister Jai Ram Thakur has directed deputy commissioners of various districts to restore essential services in the state at the earliest.,मुख्यमंत्री जयराम ठाकुर ने सभी डिप्टी कमीशनरों को आवश्यक सेवायें जल्द से जल्द बहाल करने के निर्देश दिये हैं।
Gujarat is experiencing fresh spell of cold wave conditions after mercury nosedived during the last 24 hours.,गुजरात में पिछले 24 घंटों के दौरान तापमान में गिरावट होने के कारण कड़ाके की ठंड पड़ रही है।
"Amid heavy snowfall and rain in North India, many parts of Saurashtra and North Gujarat are experiencing the cold wave conditions again.",उत्तरभारत में बर्फबारी और बारिश से सौराष्ट्र और उत्तरी गुजरात के कई हिस्सों में शीत लहर चल रही है।
Naliya in Kutch district recorded the lowest temperature in the state at  3.3 degree Celsius last night.,कच्छ जिले के नलिया में कल रात न्यूनतम तापमान तीन दशमलव तीन डिग्री सेल्सियस दर्ज किया गया।
Nearly 8 places including Ahmedabad across the state recorded the lowest temperature below 10 degree Celsius.,अहमदाबाद सहित राज्य के 8 स्थानों का न्यूनतम तापमान 10 डिग्री सेल्सियस से नीचे चला गया है।
The Supreme Court today rejected the Centre's plea challenging Telecom Disputes Settlement and Appellate Tribunal (TDSAT) Order directing refund of around 104 crore rupees to Reliance Communication.,उच्चतम न्यायालय ने रिलायंस कम्युनिकेशन को करीब 104 करोड़ रुपए के रिफंड के आदेश को चुनौती देने वाली केंद्र सरकार की याचिका खारिज कर दी है।
"A bench of Justices R F Nariman and S Ravindra Bhat said, we do not find any merits in the appeal.",न्यायमूर्ति आर एफ नरीमन और एस रविंद्र भट्ट की पीठ ने कहा कि केंद्र की अपील निराधार है।
"The TDSAT had on December 21, 2018 directed the Centre to return around 104 crore rupees after encashing bank guarantee of 908 crore rupees against spectrum charges of 774 crore rupees.","अधिकरण ने 21 दिसंबर, 2018 को केंद्र को निर्देश दिया था कि 774 करोड़ रुपए के स्पेक्ट्रम अधिभार के लिए 908 करोड़ रुपए की बैंक गारंटी भुनाकर करीब 104 करोड़ रुपए रिलायंस कम्युनिकेशन को लौटाए जाएं।"
The Department of Telecom has already adjusted  30.33 crore rupees.,दूरसंचार विभाग ने 30 करोड़ 33 लाख रुपए पहले ही समायोजित कर लिए हैं।
"In Uttarakhand, cold wave conditions intensified following the fresh spell of snowfall in hilly areas and rain in plains of the state.",उत्तराखण्ड में चारधाम सहित राज्य के पहाड़ी इलाकों में बर्फबारी और मैदानी इलाकों में वर्षा के कारण शीतलहर बढ़ गई है।
"As per reports, the Gangotri and Yamunotri temples in Uttarkashi district, Kedarnath in Rudraprayag besides Badrinath in Chamoli district was covered under thick layers of snow.","खबरों के अनुसार उत्तरकाशी जिले में गंगौत्री और यमुनौत्री, रूद्रप्रयाग जिले में केदारनाथ के अलावा चमोली जिले में बद्रीनाथ बर्फ की मोटी परत ढके हुए हैं।"
Snowfall in the higher reaches of Pithoragarh and Bageshwar and rain coupled with hail at few places in the lower areas led to a sharp drop in mercury levels with locals lighting bonfires to fight the cold.,पिथौरागढ़ और बागेश्वर के ऊंचाई वाले इलाकों में हिमपात हुआ है और राज्य के निचले क्षेत्रों में बारिश होने से तापमान में गिरावट आई है।
State capital Dehradun was lashed by rain today intensifying the cold.,"देहरादून में आज बारिश हुई, जिससे ठंड बढ़ गई है।"
Today is Pravasi Bharatiya Divas.,आज प्रवासी भारतीय दिवस है।
The day is celebrated every year to mark the contribution of overseas Indian community in the development of India.,यह दिन भारत के विकास में विदेशों में बसे भारतीय समुदाय के योगदान के लिए हर वर्ष मनाया जाता है।
It also commemorates the return of Mahatma Gandhi from South Africa to India on 9 January 1915.,यह दिन महात्मा गांधी के दक्षिण अफ्रीका से 9 जनवरी 1915 को भारत लौटने की स्मृति में भी मनाया जाता है।
"On the occasion of 16th Pravasi Bhartiya Divas today, External Affairs Minister Dr S Jaishankar will interact with Indian Diaspora across the globe through a digital video conference.",16वें प्रवासी भारतीय दिवस के अवसर पर आज विदेश मंत्री एस. जयशंकर डिजिटल वीडियो कॉन्फ्रेंस के माध्यम से विश्वभर में बसे भारतीयों से संवाद करेंगे।
Defence Minister Rajnath Singh today said NDA government is committed to protect the interests of traders and to promote ease of doing business.,विदेश मंत्रालय वर्ष 2003 से हर साल इस दिन समारोहों का आयोजन करता रहा है रक्षा मंत्री राजनाथ सिंह ने आज कहा कि एन डी ए सरकार व्यापारियों के हितों की सुरक्षा और कारोबार करने को सुगम बनाने के लिए प्रतिबद्ध है।
He said this while inaugurating the three-day National Traders Convention at Ramlila Maidan in New Delhi.,नई दिल्ली के रामलीला मैदान में तीन दिन के राष्ट्रीय व्यापारी सम्मेलन के उद्घाटन के अवसर पर रक्षा मंत्री ने यह बात कही।
The convention has been organised by Confederation of All India Traders and will deliberate upon various issues concerning traders.,सम्मेलन में व्यापारियों से जुड़े विभिन्न मुद्दों पर विचार-विमर्श किया जायेगा।
"The Pentagon said, at least two sites were attacked, in Erbil and Al-Asad.",अमरीकी रक्षा विभाग ने कहा है कि इर्बिल और अल-असद में कम से कम दो स्थानों पर हमले हुए हैं।
"White House Spokeswoman Stephanie Grisham said, in a statement, that the White House is monitoring the situation closely and consulting with the national security team.",व्हाइट हाउस की प्रवक्ता स्टेफनी ग्रीशम ने एक बयान में बताया कि उनका कार्यालय स्थिति पर गहरी नजर बनाये हुए है और राष्ट्रीय सुरक्षा दल से सलाह मशविरा कर रहा है।
The attack came after the US killing of top Iranian general Qasem Soleimani in Iraq last week.,पिछले सप्ताह को इरानी जनरल कासिम सुलेमानी और अन्य लोगों के बगदाद में अमरीकी ड्रोन हमले में मारे जाने के बाद यह कार्रवाई हुई है।
The British Foreign Office urged UK nationals in the region to remain vigilant and monitor the media carefully.,ब्रिटेन के विदेश कार्यालय ने इस क्षेत्र में अपने देश के नागरिकों से आग्रह किया है कि वे सतर्कता बरतें और संबंधित खबरों पर नजर बनाए रखें।
British foreign minister Dominic Raab has also urged all parties to de-escalate saying conflict is in interest of none.,ब्रिटेन के विदेश मंत्री डोमिनिक राब ने सभी पक्षों से संयम बनाए रखने की अपील करते हुए कहा है कि युद्ध किसी के हित में नहीं है।
